"country","mim20kc","mim45kc","mom45kc","mum20kc","mum45kc"
"Italy",2.38659677497439,8.57641420291092,13.003527806742,2.70831313718296,9.96172866848946
"Lithuania",6.40917569820972,23.4881477523012,43.1138940696602,7.5648993501259,28.3460647175092
"Latvia",7.34779788789163,25.7660752959688,45.5740812903133,9.00512960479222,31.5616784606837
"Moldova, Republic of",17.4940712991952,52.6415742232927,79.4145132172926,20.5843369525043,63.3014871750599
"Macedonia",13.1260518164082,53.0823533052752,65.4406319619883,14.3233452271356,57.3120861605393
"Netherlands",3.64853241556531,10.0938695054063,15.4063962430128,4.1842674194923,12.1694850088188
"Norway",3.16185865112385,9.88289256535526,17.9664500573093,3.68856081889053,12.2684107755797
"Poland",5.216179290043,26.7287223991362,39.8711123831037,5.90508322277125,30.0046809175208
"Portugal",2.82972332852542,12.7008848526853,21.7729229012116,3.35475026786984,15.9186233140431
"Romania",13.2897865013577,37.3807317719588,59.3904620284973,15.2346442547654,45.7254433781831
"Russian Federation",13.307896426367,33.9471778021498,61.9270200943031,15.7065655034945,40.4232402453855
"Sweden",2.70115790527506,8.41907471861115,14.7636894412142,3.1570119586555,10.0841003791312
"Slovenia",2.62442185437512,11.384625561414,19.9542099342529,3.09911125844333,13.5546614214884
"Slovakia",5.86540870937272,21.6115071941159,35.826437516335,6.8817737798698,25.4521962846795
"Turkey",37.183737899596,156.82177453339,244.640885768998,48.7419097962173,192.929642848614
"Ukraine",13.6012163336529,27.2734785739498,51.2052689439626,15.8146172147002,33.638206303465
"Serbia",8.59001189299095,33.6509733167373,48.6877461300712,9.66476514410853,38.971512825989
"Montenegro",10.3212092971528,32.0797477928497,43.9279192379597,11.3103149225627,35.3611580702458
"Canada",4.85600398600933,11.1438116785525,18.7175420312527,5.40344801123011,13.1156168790117
"United States",9.26141604745122,18.0574952556066,32.9624797345785,10.6265345703028,21.392700367773
"Argentina",22.2979906062419,56.3998063576746,84.9010768733868,25.4502490784127,65.545872201722
"Bolivia",86.2297954565677,235.329254391701,413.828845953484,133.368155053872,353.638455714339
"Brazil",30.6058068681634,91.1871845728257,134.951911137178,35.683782259264,107.581056768208
"Belize",36.0800820320319,98.3726164772845,168.433832289049,41.2062812034584,116.461003774588
"Chile",9.77688892796317,28.8744930565739,47.150826427607,11.4509549266093,34.5507382664742
"Colombia",28.1513640274259,64.7744302563314,111.510824875228,32.4126391522119,77.0973257533734
"Costa Rica",14.4033559673571,36.7781760067874,62.7661591981237,17.3448777142571,44.4033495003545
"Cuba",6.96053777831193,16.7613661817421,32.6906309364897,8.45049522771863,21.8817454423706
"Dominican Republic",67.7587736352824,148.143947639821,200.009935562162,73.9333035252975,164.810465713206
"Ecuador",35.0996661428718,102.889262981896,166.954200725789,42.2005661897162,129.002710887176
"French Guiana",26.6599861407791,69.7026173643781,95.5594194172624,30.1375284506766,80.5506245142105
"Guatemala",76.8579324848489,206.505435871698,310.927466111789,92.112814466548,258.289010750499
"Guyana",65.3382321839469,113.289652283275,189.60789186622,79.0309792375657,141.358394046929
"Honduras",66.800499071833,179.23818920476,297.108005441986,91.6252279424346,241.391854919392
"Haiti",118.158636922673,254.454591564491,421.601658691157,164.11797044668,344.526255134644
"Jamaica",27.0294702189143,58.9292302169002,91.8783698357992,31.1392595076079,69.3821289864788
"Mexico",31.0976748076277,81.3529956136097,121.113844245183,35.2235622464628,95.2072030438604
"Nicaragua",43.9010771205832,141.58450694499,222.027246683508,51.6443433457173,176.548123246505
"Panama",35.0085116948247,69.5500330616936,121.242452362523,43.8878610473686,88.0824733072203
"Peru",41.3070224673455,156.240570198949,240.010758895035,50.7972405543639,204.297435692292
"Puerto Rico",9.54189289777565,23.047900213277,41.4410624912845,10.7663283728569,27.1627127786691
"Paraguay",44.6913583495261,107.43713509585,170.855957101836,51.6411910976231,128.204308404882
"Suriname",46.3458706689442,103.139381188517,148.258099120351,50.8227142987295,116.323391198075
"El Salvador",36.1463143769107,111.096763967717,185.384778158037,41.3413920890979,137.453619304206
"Trinidad and Tobago",36.7515400914156,59.0770567194028,90.2311681810951,41.0657447222324,67.0255731176507
"Uruguay",16.4027513520962,40.7378969036681,62.0731361235133,19.030355106475,47.4901823171244
"Venezuela",30.1088886601367,62.1272583943133,111.601840179572,34.7638806123148,73.1526084973981
